"id","year","title","journal","doctype","citations","authorlist","maplist","authormapped","fulladdlist"
"WOS:000281989401104",2010,"SUMOylation of Foxl2 Increases Synergistic Activation of the Mc2R Promoter by Foxl2 and SF1.","ENDOCRINE REVIEWS","Meeting Abstract",,"Wang, Chiung-Min|Ellsworth, Buffy S.|Wang, Lizhong|Gutierrez, Ninoska M.|Yang, Wei-Hsiung","SavannahGAUSA|SavannahGAUSA|Ann ArborMIUSA|SavannahGAUSA|CarbondaleILUSA","Wang, Chiung-Min|Yang, Wei-Hsiung|Wang, Lizhong|Gutierrez, Ninoska M.|Ellsworth, Buffy S.","Mercer Univ, Sch Med, Savannah, GA USA|Mercer Univ, Sch Med, Savannah, GA USA|Univ Michigan, Ann Arbor, MI 48109 USA|Mercer Univ, Sch Med, Savannah, GA USA|So Illinois Univ, Carbondale, IL 62901 USA"
"WOS:000289302800001",2011,"Modified nonmonotone Armijo line search for descent method","NUMERICAL ALGORITHMS","Article","WOS:000183601900001|WOS:A1992JJ83300006|WOS:A1971J346900002|WOS:A1969D957900005|WOS:A1997YC95800008|WOS:000085101900011|WOS:A1996TV00700019|WOS:A1996UG76600011|WOS:A1997WP91200004|WOS:A1989AL64000010|WOS:000177564400009|WOS:000232321700008|WOS:000233548200011|WOS:000238003500002|WOS:000224276900009|WOS:000173207800003|WOS:A1993LL65900001|WOS:A1997WH89100002|INSPEC:6366949|WOS:A1991FY95700016|000330986600006.19|WOS:A1981LJ53800002|INSPEC:5325162|WOS:A1995RG07300005|WOS:A1996TX98000004|WOS:A1991GK42800003|WOS:A1989U371800004|WOS:A1986D424500002|WOS:000187292800001|WOS:000173625300001|WOS:A1993KN97200004|WOS:000173395600001|WOS:000173971200004|WOS:A1981LN65500003|WOS:A1995QW10500010|WOS:A1988M233100009|WOS:A19667408000001","Wang, Shengquan|Shi, Zhenjun","DearbornMIUSA|WilberforceOHUSA","Wang, Shengquan|Shi, Zhenjun","Univ Michigan, Dept Comp & Informat Sci, Dearborn, MI 48128 USA|Cent State Univ, Dept Math & Comp Sci, Wilberforce, OH 45384 USA"
"WOS:000305003100014",2012,"Investigation of Ebola VP40 Assembly and Oligomerization in Live Cells Using Number and Brightness Analysis","BIOPHYSICAL JOURNAL","Article","WOS:000273070100055|WOS:000267039900013|WOS:000254188500011|WOS:000276804300061|WOS:000184948000011|WOS:000265783400015|WOS:000251077500009|WOS:000166052800011|WOS:000087980600010|WOS:000283585700004|WOS:000286957200001|WOS:000295991400019|WOS:000295991400013|WOS:000187554600115|WOS:000300802100003|WOS:000295212100014|WOS:000202894900007|WOS:000230411800004|WOS:000230884700021|000322602200052.11|WOS:000250019400058|WOS:000222995900018|WOS:000222407200006|WOS:000180488700017|WOS:000078400300029|WOS:000244881900012|WOS:000293674000003|WOS:000289070900011|WOS:A1977CX78300007|WOS:000168593600029|WOS:000285182600006|WOS:000278935700015|WOS:000226634300054|WOS:000234611000009|WOS:000264278400001|WOS:000182591400012|WOS:000081825300012|WOS:A1985ATH5100016|WOS:000263516100019|WOS:000253676200035|WOS:000254076300038|WOS:000088853000004|WOS:000252528400011|WOS:A1977CX78300008|WOS:000289070900019","Stahelin, Robert V.|Gratton, Enrico|Digman, Michelle A.|Adu-Gyamfi, Emmanuel","Notre DameINUSA;Notre DameINUSA|IrvineCAUSA|IrvineCAUSA|Notre DameINUSA;Notre DameINUSA;South BendINUSA;Notre DameINUSA","Adu-Gyamfi, Emmanuel|Gratton, Enrico|Digman, Michelle A.|Stahelin, Robert V.","Univ Notre Dame, Dept Chem & Biochem, Notre Dame, IN 46556 USA;Univ Notre Dame, Eck Inst Global Hlth, Notre Dame, IN 46556 USA|Univ Calif Irvine, Dept Biomed Engn, Fluorescence Dynam Lab, Irvine, CA USA|Univ Calif Irvine, Dept Biomed Engn, Fluorescence Dynam Lab, Irvine, CA USA|Univ Notre Dame, Dept Chem & Biochem, Notre Dame, IN 46556 USA;Univ Notre Dame, Eck Inst Global Hlth, Notre Dame, IN 46556 USA;Indiana Univ Sch Med, Dept Biochem & Mol Biol, South Bend, IN USA;Univ Notre Dame, Ctr Rare & Neglected Dis, Notre Dame, IN 46556 USA"
"WOS:000276170100026",2010,"The case for frugal default options in patient-doctor communication","JOURNAL OF EVALUATION IN CLINICAL PRACTICE","Editorial Material","WOS:000175512300002|000334614100007.23|000334819100009.45|WOS:000247552400017|WOS:000226079200004|WOS:000186683500032|WOS:000249711500013|000333016800001.13|WOS:000276170100026.1","Fagerlin, Angela","Ann ArborMIUSA;Ann ArborMIUSA;Ann ArborMIUSA","Fagerlin, Angela","Ann Arbor VA HSR&D Ctr Practice Management & Outc, Ann Arbor, MI USA;Univ Michigan, Div Gen Internal Med, Ann Arbor, MI 48109 USA;Ctr Behav & Decis Sci Med, Ann Arbor, MI USA"
"WOS:000304397500002",2012,"Flaps, Slings, and Other Things: CT After Reconstructive Surgery-Expected Changes and Detection of Complications","AMERICAN JOURNAL OF ROENTGENOLOGY","Article","WOS:000184409100020|WOS:000181521000002|WOS:000184283400003|WOS:000236950900016|MEDLINE:16247654|WOS:000241812800012|WOS:000222863500009|WOS:000226868300022|WOS:000262317700004|000304397500002.32|WOS:A1993KR97900015|000304397500002.30|WOS:A1988M851800019|WOS:000238132000005|WOS:A1993KN05300010|WOS:A1990DK93200019|WOS:000245162400010|WOS:A1988N737300005|WOS:A1989CA97700004|WOS:000258256500005|WOS:A1980JW75300012|WOS:000245162400009|WOS:000238522000025|WOS:000236940200020|WOS:000251229000012|000304397500002.16|WOS:A1990CT33600013|WOS:A1992JV36000016|WOS:000247909400007|WOS:000180347300017|WOS:000237797700007|WOS:000166195300010|WOS:000240259300034|WOS:A1996UN74200014|WOS:000087277300010|WOS:000081500100004|WOS:A1994PD07300041|000304397500002.4|WOS:A1990DF29000006|MEDLINE:17899231|WOS:000255297300017","Sandrasegaran, Kumaresan|Jennings, S. Gregory|Verma, Sadhna|Lamba, Ramit|Patel, Aashish A.|Tirkes, Temel A.|Lall, Chandana","IndianapolisINUSA|CincinnatiOHUSA|IndianapolisINUSA|OrangeCAUSA|IndianapolisINUSA|IndianapolisINUSA|SacramentoCAUSA","Jennings, S. Gregory|Verma, Sadhna|Sandrasegaran, Kumaresan|Lall, Chandana|Patel, Aashish A.|Tirkes, Temel A.|Lamba, Ramit","Indiana Univ, Med Ctr, Dept Radiol, Indianapolis, IN 46204 USA|Univ Cincinnati, Med Ctr, Cincinnati, OH 45267 USA|Indiana Univ, Med Ctr, Dept Radiol, Indianapolis, IN 46204 USA|Univ Calif Irvine, Dept Radiol, Orange, CA 92868 USA|Indiana Univ, Med Ctr, Dept Radiol, Indianapolis, IN 46204 USA|Indiana Univ, Med Ctr, Dept Radiol, Indianapolis, IN 46204 USA|Univ Calif Davis, Sacramento, CA 95817 USA"
"WOS:000274283600010",2010,"Shape- and Size-Specific Chemistry of Ag Nanostructures in Catalytic Ethylene Epoxidation","CHEMCATCHEM","Article","WOS:000259673500055|WOS:000274283600010.29|WOS:000251153900022|WOS:000179773700043|WOS:000184107300017|000322835700008.21|WOS:000257427000010|WOS:000229275100002|WOS:000074118500014|WOS:000234135300029|WOS:000180103700016|WOS:000268913800021|WOS:000263576100065|WOS:000240116300019|WOS:000221601100028|WOS:000182003500014|WOS:000183790400004|WOS:000260360500008|WOS:000233830700018|WOS:000226694000040|WOS:000258660600011|WOS:000221124300058|000330881800001.5|WOS:000228871800027|WOS:A1986C230100004|WOS:A1985AMV6200012|WOS:000250143400028|WOS:A1985AMF8300049|WOS:000181519500032|WOS:A1996UV29400043","Linic, Suljo|Christopher, Phillip","Ann ArborMIUSA|Ann ArborMIUSA","Linic, Suljo|Christopher, Phillip","Univ Michigan, Dept Chem Engn, Ann Arbor, MI 48109 USA|Univ Michigan, Dept Chem Engn, Ann Arbor, MI 48109 USA"
"WOS:000291958100007",2011,"Dreissenids in Lake Erie: an algal filter or a fertilizer?","AQUATIC INVASIONS","Article","WOS:000291958100007.2|WOS:000291958100007.75|WOS:000256608000012|WOS:000081362000001|WOS:A1991GZ44900001|WOS:000182050000029|WOS:000291958100007.1|WOS:000281654700006|WOS:000177827100011|WOS:000168890500016|WOS:000182596900002|WOS:A1989AF76900004|WOS:000241296700032|WOS:A1987M110000006|WOS:000071517900020|WOS:000089124000045|WOS:000291958100007.61|ZOOREC:ZOOR13600028295|WOS:000072105100009|WOS:A1995QZ60800013|WOS:000187754000006|WOS:A1993MV46500002|ZOOREC:ZOOR13100034104|WOS:000263245000003|000322925300011.39|WOS:A1995UA09600004|WOS:A1996VC20700010|WOS:000086696200008|WOS:000278390300010|WOS:A1991GU71800002|WOS:000082057600011|WOS:A1992JU08000005|WOS:A1995TJ57300003|ZOOREC:ZOOR13100034122|BCI:BCI197661013168|WOS:A1988Q470400006|BCI:BCI19644500031109|WOS:A1995TP51700005|WOS:000086696200004|WOS:000291958100007.38|WOS:000291958100007.37|WOS:000169776600016|WOS:A1993MB67500011|WOS:000258099000001|CCC:000172602800012|WOS:000224451000022|WOS:A1989AP88800016|WOS:A1995TP51700009|WOS:000238618700007|ZOOREC:ZOOR13100034105|WOS:000229594600016|WOS:A1995TP51700011|WOS:000291958100007.25|WOS:000227614100020|WOS:000238618700002|WOS:A1975V384100015|WOS:000229957800003|000208366400002.7|WOS:000291958100007.19|WOS:000267167400008|WOS:A1993LR75800016|WOS:000256178200002|000311939400018.4|WOS:000291958100007.14|WOS:000168528100003|WOS:000291958100007.12|WOS:000256498900019|WOS:000256076300005|WOS:000230145500004|WOS:A1987M110000015|WOS:000226952000009|WOS:000176313200011|WOS:000278389700006|WOS:A1996UU21300022|WOS:A1991GH83900015","Boegman, Leon|Culver, David A.|Zhang, Hongyan","ColumbusOHUSA|Ann ArborMIUSA|KingstonONCanada","Culver, David A.|Zhang, Hongyan|Boegman, Leon","Ohio State Univ, Dept Ecol Evolut & Organismal Biol, Columbus, OH 43212 USA|Univ Michigan, Cooperat Inst Limnol & Ecosyst Res, Ann Arbor, MI 48108 USA|Queens Univ, Dept Civil Engn, Kingston, ON K7L 3N6, Canada"
"WOS:000277445400033",2010,"Exploring Peptide Space for Enzyme Modulators","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","Article","WOS:000268231500004|WOS:000177579700001|WOS:000257018800010|WOS:000250488400004|WOS:000245473900019|WOS:000240713500003|WOS:000225505700003|WOS:000247338800004|WOS:000181308300043|WOS:000179817000029|WOS:000227635400025|WOS:000263953900001|WOS:000262292200009|WOS:000082471100041|WOS:000170045000001|WOS:000250249300037|WOS:000187746000017|WOS:000273437800007|WOS:000230220900061|WOS:000272597500024|WOS:000261727400007|WOS:A1996UG32600003|WOS:A1994NU58100066|WOS:000263466600009|WOS:000174142800045|WOS:000088428900014|WOS:000184371000025|WOS:000277445400033.11|WOS:A1997YK57800017|WOS:A1991EX57500036|WOS:000085902800046|WOS:000244497700001|WOS:A1990DQ70200038|WOS:A1994PU25500010|WOS:000183638600036|WOS:000264482300002|WOS:A1976CE47500007|WOS:A1981LP04000094","Woodbury, Neal W.|Johnston, Stephen Albert|Cai, Katherine|Fu, Jinglin","TempeAZUSA;TempeAZUSA;TempeAZUSA|TempeAZUSA;TempeAZUSA;TempeAZUSA|TempeAZUSA|TempeAZUSA;TempeAZUSA;TempeAZUSA","Fu, Jinglin|Woodbury, Neal W.|Cai, Katherine|Johnston, Stephen Albert","Arizona State Univ, Ctr Single Mol Biophys, Tempe, AZ 85287 USA;Arizona State Univ, Biodesign Inst, Tempe, AZ 85287 USA;Arizona State Univ, Dept Chem & Biochem, Tempe, AZ 85287 USA|Arizona State Univ, Ctr Single Mol Biophys, Tempe, AZ 85287 USA;Arizona State Univ, Biodesign Inst, Tempe, AZ 85287 USA;Arizona State Univ, Dept Chem & Biochem, Tempe, AZ 85287 USA|Arizona State Univ, Sch Mech Aerosp Chem & Mat Engn, Tempe, AZ 85287 USA|Arizona State Univ, Ctr Innovat Med, Tempe, AZ 85287 USA;Arizona State Univ, Biodesign Inst, Tempe, AZ 85287 USA;Arizona State Univ, Sch Life Sci, Tempe, AZ 85287 USA"
"WOS:000274483400018",2010,"The structure of foraging activity in colonies of the harvester ant, Pogonomyrmex occidentalis","BEHAVIORAL ECOLOGY","Article","WOS:000180854400005|WOS:000252900200015|WOS:000221302600022|WOS:A1995RJ55300009|WOS:A1992HZ11200052|WOS:000184052100005|WOS:000238847200001|WOS:000229283500014|WOS:A1980KR04300036|WOS:000247123500011|WOS:000088404400006|WOS:000087882600016|WOS:000224028900006|WOS:000248638100005|WOS:A1990DZ83900023|WOS:000073964200012|WOS:A1983QC75000010|WOS:000274483400018.34|WOS:A1988P175100002|WOS:000222171500023|WOS:000220766600003|WOS:000222662400040|WOS:000250832000016|WOS:A1992KC33800006|WOS:A1986E483900013|WOS:A1991GJ83500006|WOS:A1991GB18500004|WOS:000175302800007|WOS:A1992JB02600004|WOS:000274483400018.21|WOS:000082554100017|WOS:000295265100043.8|WOS:000252510000031|WOS:A1994PT92900005|WOS:000175131300024|ZOOREC:ZOOR13800048762|WOS:A1997WY47400007|WOS:000077666300012|WOS:000250128900016|WOS:A1993KX45800006|WOS:000240402600004|WOS:000085378400011|WOS:000082698600004|WOS:A1979HU59600008|WOS:000166798000008|WOS:000167877300015|WOS:000274483400018.4|WOS:000274483400018.3|WOS:000166243500015|WOS:000250128900024","Wiernasz, Diane C.|Huber, Zachary J.|Smith, Adrian A.|Cole, Blaine J.","HoustonTXUSA|St PaulMNUSA|TempeAZUSA|HoustonTXUSA","Cole, Blaine J.|Huber, Zachary J.|Smith, Adrian A.|Wiernasz, Diane C.","Univ Houston, Dept Biol & Biochem, Houston, TX 77204 USA|Univ Minnesota, Dept Entomol, St Paul, MN 55108 USA|Arizona State Univ, Sch Life Sci, Tempe, AZ 85287 USA|Univ Houston, Dept Biol & Biochem, Houston, TX 77204 USA"
"WOS:000297152600032",2011,"1,2-CF bond activation of perfluoroarenes and alkylidene isomers of titanium. DFT analysis of the C-F bond activation pathway and rotation of the titanium alkylidene moiety","JOURNAL OF ORGANOMETALLIC CHEMISTRY","Article","WOS:000276692100013|WOS:A1985ABS5500034|000328446200002.243|000317981700013.22|WOS:A1995RW66200002|WOS:A1994NW03700042|WOS:A1992JM97900056|000332270000002.22|WOS:A1996TY93100032|WOS:000259604200041|WOS:A1988L976200011|WOS:A1994NG03100005|WOS:000186557600003|000299063500005.14|WOS:A1985ABS5500033|WOS:000184137900003|WOS:000178078500043|WOS:000170473500006|WOS:000171867600037|WOS:000250327000027|WOS:000262177200041|WOS:000283572100091|WOS:000292964700004|WOS:A1989R859900040|WOS:A1997WK02100001|WOS:000188534200018|WOS:A1993KV99700048|WOS:A1988Q146900044|WOS:000237816300018|WOS:000245946400002|WOS:000233445900012|WOS:000247966200032|WOS:000297152600032.1","Mindiola, Daniel J.|Baik, Mu-Hyun|Bailey, Brad C.|Fout, Alison R.|Fan, Hongjun|Andino, Jose G.","BloomingtonINUSA|BloomingtonINUSA|BloomingtonINUSA|BloomingtonINUSA|BloomingtonINUSA|BloomingtonINUSA","Fout, Alison R.|Fan, Hongjun|Mindiola, Daniel J.|Bailey, Brad C.|Baik, Mu-Hyun|Andino, Jose G.","Indiana Univ, Dept Chem, Bloomington, IN 47405 USA|Indiana Univ, Dept Chem, Bloomington, IN 47405 USA|Indiana Univ, Dept Chem, Bloomington, IN 47405 USA|Indiana Univ, Dept Chem, Bloomington, IN 47405 USA|Indiana Univ, Dept Chem, Bloomington, IN 47405 USA|Indiana Univ, Dept Chem, Bloomington, IN 47405 USA"
"WOS:000276639300007",2010,"Clinical Complexity in Middle-Aged and Older Adults With Diabetes The Health and Retirement Study","MEDICAL CARE","Article","000331708600023.3|000323640400001.11|WOS:000235764100047|WOS:000276639300007.24|WOS:000172167000008|WOS:A1995TP88600002|WOS:A1997XJ37700004|WOS:000249693100006|WOS:000186270500002|WOS:000237059200029|WOS:000231068600025|WOS:000183049200002|WOS:000177335900015|WOS:000071219200016|WOS:000075857300006|WOS:000075857300007|WOS:000075995100018|WOS:000276639300007.6|WOS:000276639300007.5|000313208500022.6|WOS:000256593600004|WOS:000249733300028","Weir, David R.|Langa, Kenneth M.|Tian, Zhiyi|Wolff, Jennifer L.|Boyd, Cynthia|Cigolle, Christine T.|Blaum, Caroline S.","Ann ArborMIUSA|Ann ArborMIUSA;Ann ArborMIUSA;Ann ArborMIUSA|BaltimoreMDUSA|Ann ArborMIUSA;Ann ArborMIUSA|W LafayetteINUSA|Ann ArborMIUSA;Ann ArborMIUSA|BaltimoreMDUSA","Weir, David R.|Langa, Kenneth M.|Boyd, Cynthia|Cigolle, Christine T.|Tian, Zhiyi|Blaum, Caroline S.|Wolff, Jennifer L.","Univ Michigan, Inst Social Res, Ann Arbor, MI 48109 USA|Univ Michigan, Div Gen Med, Dept Internal Med, Ann Arbor, MI 48109 USA;Univ Michigan, Vet Affairs Hlth Serv Res & Dev Ctr Excellence, VAAAHCS, Ann Arbor, MI 48109 USA;Univ Michigan, Inst Social Res, Ann Arbor, MI 48109 USA|Johns Hopkins Univ, Sch Med, Ctr Aging & Hlth, Div Geriatr Med & Gerontol, Baltimore, MD USA|Vet Adm Hlth Ctr, Ann Arbor, MI USA;Univ Michigan, Dept Family Med Ctr, Ann Arbor, MI 48109 USA|Purdue Univ, Regenstrief Ctr Healthcare Engn, W Lafayette, IN 47907 USA|Univ Michigan, Div Geriatr, Dept Internal Med, Ann Arbor, MI 48109 USA;Vet Adm Hlth Ctr, Ann Arbor, MI USA|Bloomberg Sch Publ Hlth, Dept Hlth Policy & Management, Baltimore, MD USA"
"WOS:000310805000003",2012,"Beyond Kelly Green Golf Shoes: Evaluating the Demand for Scholarship of Free-Market and Mainstream Economists","AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY","Article","000310805000003.17|000310805000003.16|000310805000003.15|WOS:A1997YJ04700010|000310805000001.19|WOS:000284164800004|000310805000001.15|WOS:000203013100013|WOS:000203013300008|000310805000003.8|WOS:A1992GY50700004|000326986700003.20|000208883400005.17|WOS:A1964CAA5200001|000322287500004.9|WOS:000234943900007|000310805000003.1","Stringham, Edward Peter|Miller-Wilford, Jennifer|Clark, J. R.","ChattanoogaTNUSA|TempeAZUSA|FayettevilleARUSA","Clark, J. R.|Miller-Wilford, Jennifer|Stringham, Edward Peter","Univ Tennessee, Chattanooga, TN USA|Arizona State Univ, Tempe, AZ 85287 USA|Fayetteville State Univ, Fayetteville, AR USA"
"WOS:000286884700204",2011,"DISCUSSIONS BETWEEN ADOLESCENTS AND ADULTS ABOUT HEALTHY SEXUALITY, SEXUAL BEHAVIORS, AND ROMANTIC RELATIONSHIPS","JOURNAL OF ADOLESCENT HEALTH","Meeting Abstract",,"Austin, S. Bryn|Titiz, Handan|Schalet, Amy|Ott, Mary|Koyama, Atsuko","BostonMAUSA|BostonMAUSA|AmherstMAUSA|BostonMAUSA|BostonMAUSA;IndianapolisINUSA","Austin, S. Bryn|Koyama, Atsuko|Schalet, Amy|Titiz, Handan|Ott, Mary","Childrens Hosp Boston, Boston, MA USA|Childrens Hosp Boston, Boston, MA USA|Univ Massachusetts, Amherst, MA 01003 USA|Childrens Hosp Boston, Boston, MA USA|Childrens Hosp Boston, Boston, MA USA;Indiana Univ Sch Med, Sect Adolescent Med, Indianapolis, IN USA"
